name;group;type;full_name;obj_value_hx;gap_hx;n_vehicles_used_hx;time_hx;status;optimal;tle_feas;tle_not_feas
lr101;08R_08V_04I_04M;t1;lr101_t1_08R_08V_04I_04M;1067.37;0;0.88;1313;HxSolutionStatus.OPTIMAL;1;0;0
lr102;08R_08V_04I_03M;t1;lr102_t1_08R_08V_04I_03M;772.63;12.09;0.62;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr102;08R_08V_04I_04M;t1;lr102_t1_08R_08V_04I_04M;771.68;11.38;0.62;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;08R_08V_04I_03M;t1;lr103_t1_08R_08V_04I_03M;563.83;77.63;0.38;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;08R_08V_04I_04M;t1;lr103_t1_08R_08V_04I_04M;565.22;79.07;0.38;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr104;08R_08V_04I_03M;t1;lr104_t1_08R_08V_04I_03M;649.35;96.67;0.62;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr104;08R_08V_04I_04M;t1;lr104_t1_08R_08V_04I_04M;647.39;100;0.62;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr105;08R_08V_04I_03M;t1;lr105_t1_08R_08V_04I_03M;754.77;0;0.62;824;HxSolutionStatus.OPTIMAL;1;0;0
lr105;08R_08V_04I_04M;t1;lr105_t1_08R_08V_04I_04M;743.51;0;0.62;1172;HxSolutionStatus.OPTIMAL;1;0;0
lr101;10R_10V_02I_03M;t1;lr101_t1_10R_10V_02I_03M;1295.64;0;0.8;1458;HxSolutionStatus.OPTIMAL;1;0;0
lr101;10R_10V_02I_04M;t1;lr101_t1_10R_10V_02I_04M;1245.7;2.21;0.8;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr102;10R_10V_02I_03M;t1;lr102_t1_10R_10V_02I_03M;1018.62;14.1;0.6;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr102;10R_10V_02I_04M;t1;lr102_t1_10R_10V_02I_04M;1018.62;22.14;0.6;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;10R_10V_02I_03M;t1;lr103_t1_10R_10V_02I_03M;607.23;100;0.3;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;10R_10V_02I_04M;t1;lr103_t1_10R_10V_02I_04M;633.75;100;0.4;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr104;10R_10V_02I_03M;t1;lr104_t1_10R_10V_02I_03M;697.77;100;0.4;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr104;10R_10V_02I_04M;t1;lr104_t1_10R_10V_02I_04M;698.55;100;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr105;10R_10V_02I_03M;t1;lr105_t1_10R_10V_02I_03M;670.47;0;0.5;3371;HxSolutionStatus.OPTIMAL;1;0;0
lr105;10R_10V_02I_04M;t1;lr105_t1_10R_10V_02I_04M;670.47;23.11;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr101;10R_10V_04I_03M;t1;lr101_t1_10R_10V_04I_03M;1260.36;12.21;0.9;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr101;10R_10V_04I_04M;t1;lr101_t1_10R_10V_04I_04M;1197.46;7.38;0.9;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr102;10R_10V_04I_03M;t1;lr102_t1_10R_10V_04I_03M;939.28;34.81;0.6;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr102;10R_10V_04I_04M;t1;lr102_t1_10R_10V_04I_04M;937.46;39.4;0.6;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;10R_10V_04I_03M;t1;lr103_t1_10R_10V_04I_03M;679.58;100;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;10R_10V_04I_04M;t1;lr103_t1_10R_10V_04I_04M;695.61;100;0.4;3601;HxSolutionStatus.FEASIBLE;0;1;0
lr104;10R_10V_04I_03M;t1;lr104_t1_10R_10V_04I_03M;727.51;100;0.5;3601;HxSolutionStatus.FEASIBLE;0;1;0
lr104;10R_10V_04I_04M;t1;lr104_t1_10R_10V_04I_04M;727.92;100;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr105;10R_10V_04I_03M;t1;lr105_t1_10R_10V_04I_03M;668.46;21.27;0.4;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr105;10R_10V_04I_04M;t1;lr105_t1_10R_10V_04I_04M;665.48;21.11;0.4;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr101;12R_12V_02I_03M;t1;lr101_t1_12R_12V_02I_03M;1431.73;1.23;0.83;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr101;12R_12V_02I_04M;t1;lr101_t1_12R_12V_02I_04M;1381.79;3.04;0.83;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr102;12R_12V_02I_03M;t1;lr102_t1_12R_12V_02I_03M;965.99;50.2;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr102;12R_12V_02I_04M;t1;lr102_t1_12R_12V_02I_04M;960.14;54.64;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;12R_12V_02I_03M;t1;lr103_t1_12R_12V_02I_03M;800.61;100;0.42;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;12R_12V_02I_04M;t1;lr103_t1_12R_12V_02I_04M;860.07;100;0.42;3601;HxSolutionStatus.FEASIBLE;0;1;0
lr104;12R_12V_02I_03M;t1;lr104_t1_12R_12V_02I_03M;NA;Inf;0;3600;HxSolutionStatus.INFEASIBLE;0;0;1
lr104;12R_12V_02I_04M;t1;lr104_t1_12R_12V_02I_04M;NA;Inf;0;3600;HxSolutionStatus.INFEASIBLE;0;0;1
lr105;12R_12V_02I_03M;t1;lr105_t1_12R_12V_02I_03M;1335.76;14.99;0.67;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr105;12R_12V_02I_04M;t1;lr105_t1_12R_12V_02I_04M;1295.25;28.03;0.67;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr101;12R_12V_04I_03M;t1;lr101_t1_12R_12V_04I_03M;1367.23;10.46;0.75;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr101;12R_12V_04I_04M;t1;lr101_t1_12R_12V_04I_04M;1310.1;11.02;0.75;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr102;12R_12V_04I_03M;t1;lr102_t1_12R_12V_04I_03M;975.18;54.74;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr102;12R_12V_04I_04M;t1;lr102_t1_12R_12V_04I_04M;968.01;62.17;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;12R_12V_04I_03M;t1;lr103_t1_12R_12V_04I_03M;923.78;100;0.58;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;12R_12V_04I_04M;t1;lr103_t1_12R_12V_04I_04M;NA;Inf;0;3600;HxSolutionStatus.INFEASIBLE;0;0;1
lr104;12R_12V_04I_03M;t1;lr104_t1_12R_12V_04I_03M;NA;Inf;0;3601;HxSolutionStatus.INFEASIBLE;0;0;1
lr104;12R_12V_04I_04M;t1;lr104_t1_12R_12V_04I_04M;NA;Inf;0;3621;HxSolutionStatus.INFEASIBLE;0;0;1
lr105;12R_12V_04I_03M;t1;lr105_t1_12R_12V_04I_03M;834.01;53.89;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr105;12R_12V_04I_04M;t1;lr105_t1_12R_12V_04I_04M;833.74;54.44;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;06R_06V_02I_03M;t2;lr201_t2_06R_06V_02I_03M;695.53;0;0.5;64;HxSolutionStatus.OPTIMAL;1;0;0
lr201;06R_06V_02I_04M;t2;lr201_t2_06R_06V_02I_04M;693.77;0;0.5;83;HxSolutionStatus.OPTIMAL;1;0;0
lr202;06R_06V_02I_03M;t2;lr202_t2_06R_06V_02I_03M;606.04;100;0.33;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;06R_06V_02I_04M;t2;lr202_t2_06R_06V_02I_04M;606.04;100;0.33;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;06R_06V_02I_03M;t2;lr203_t2_06R_06V_02I_03M;589.86;0;0.33;1062;HxSolutionStatus.OPTIMAL;1;0;0
lr203;06R_06V_02I_04M;t2;lr203_t2_06R_06V_02I_04M;589.86;0;0.33;1261;HxSolutionStatus.OPTIMAL;1;0;0
lr204;06R_06V_02I_03M;t2;lr204_t2_06R_06V_02I_03M;546.24;100;0.17;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr204;06R_06V_02I_04M;t2;lr204_t2_06R_06V_02I_04M;543.93;100;0.17;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr205;06R_06V_02I_03M;t2;lr205_t2_06R_06V_02I_03M;551.63;0;0.17;727;HxSolutionStatus.OPTIMAL;1;0;0
lr205;06R_06V_02I_04M;t2;lr205_t2_06R_06V_02I_04M;549.2;0;0.17;1006;HxSolutionStatus.OPTIMAL;1;0;0
lr201;06R_06V_04I_03M;t2;lr201_t2_06R_06V_04I_03M;739.26;0;0.67;301;HxSolutionStatus.OPTIMAL;1;0;0
lr201;06R_06V_04I_04M;t2;lr201_t2_06R_06V_04I_04M;733.28;0;0.67;453;HxSolutionStatus.OPTIMAL;1;0;0
lr202;06R_06V_04I_03M;t2;lr202_t2_06R_06V_04I_03M;547.87;100;0.17;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;06R_06V_04I_04M;t2;lr202_t2_06R_06V_04I_04M;547.87;100;0.17;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;06R_06V_04I_03M;t2;lr203_t2_06R_06V_04I_03M;609.91;82.62;0.33;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;06R_06V_04I_04M;t2;lr203_t2_06R_06V_04I_04M;606.2;88.43;0.33;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr204;06R_06V_04I_03M;t2;lr204_t2_06R_06V_04I_03M;586.7;100;0.33;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr204;06R_06V_04I_04M;t2;lr204_t2_06R_06V_04I_04M;587.7;100;0.33;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr205;06R_06V_04I_03M;t2;lr205_t2_06R_06V_04I_03M;535.22;0;0.17;2836;HxSolutionStatus.OPTIMAL;1;0;0
lr205;06R_06V_04I_04M;t2;lr205_t2_06R_06V_04I_04M;535.22;30.18;0.17;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;08R_08V_02I_03M;t2;lr201_t2_08R_08V_02I_03M;948.09;53.37;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;08R_08V_02I_03M;t2;lr202_t2_08R_08V_02I_03M;707.53;100;0.38;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;08R_08V_02I_03M;t2;lr203_t2_08R_08V_02I_03M;725.86;100;0.38;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr204;08R_08V_02I_03M;t2;lr204_t2_08R_08V_02I_03M;726.75;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr205;08R_08V_02I_03M;t2;lr205_t2_08R_08V_02I_03M;647.89;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;08R_08V_04I_03M;t2;lr201_t2_08R_08V_04I_03M;1024.13;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;08R_08V_04I_03M;t2;lr202_t2_08R_08V_04I_03M;811.81;100;0.38;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;08R_08V_04I_03M;t2;lr203_t2_08R_08V_04I_03M;853.48;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr204;08R_08V_04I_03M;t2;lr204_t2_08R_08V_04I_03M;NA;Inf;0;3600;HxSolutionStatus.INFEASIBLE;0;0;1
lr205;08R_08V_04I_03M;t2;lr205_t2_08R_08V_04I_03M;708.96;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;10R_10V_02I_03M;t2;lr201_t2_10R_10V_02I_03M;1110.28;100;0.2;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;10R_10V_02I_03M;t2;lr202_t2_10R_10V_02I_03M;983.77;100;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;10R_10V_02I_03M;t2;lr203_t2_10R_10V_02I_03M;849.35;100;0.2;3601;HxSolutionStatus.FEASIBLE;0;1;0
lr204;10R_10V_02I_03M;t2;lr204_t2_10R_10V_02I_03M;936.13;100;0.3;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr205;10R_10V_02I_03M;t2;lr205_t2_10R_10V_02I_03M;893.87;100;0.4;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;10R_10V_04I_03M;t2;lr201_t2_10R_10V_04I_03M;1371.36;100;0.4;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;10R_10V_04I_03M;t2;lr202_t2_10R_10V_04I_03M;1100.98;100;0.3;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;10R_10V_04I_03M;t2;lr203_t2_10R_10V_04I_03M;919.89;100;0.2;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr204;10R_10V_04I_03M;t2;lr204_t2_10R_10V_04I_03M;NA;Inf;0;3665;HxSolutionStatus.INFEASIBLE;0;0;1
lr205;10R_10V_04I_03M;t2;lr205_t2_10R_10V_04I_03M;987.42;100;0.3;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;12R_12V_02I_03M;t2;lr201_t2_12R_12V_02I_03M;1456.41;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;12R_12V_02I_03M;t2;lr202_t2_12R_12V_02I_03M;1157.15;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;12R_12V_02I_03M;t2;lr203_t2_12R_12V_02I_03M;1467.47;100;0.25;3602;HxSolutionStatus.FEASIBLE;0;1;0
lr204;12R_12V_02I_03M;t2;lr204_t2_12R_12V_02I_03M;NA;Inf;0;3617;HxSolutionStatus.INFEASIBLE;0;0;1
lr205;12R_12V_02I_03M;t2;lr205_t2_12R_12V_02I_03M;1173.24;100;0.17;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;12R_12V_04I_03M;t2;lr201_t2_12R_12V_04I_03M;1544.45;100;0.42;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;12R_12V_04I_03M;t2;lr202_t2_12R_12V_04I_03M;NA;Inf;0;3602;HxSolutionStatus.INFEASIBLE;0;0;1
lr203;12R_12V_04I_03M;t2;lr203_t2_12R_12V_04I_03M;NA;Inf;0;3603;HxSolutionStatus.INFEASIBLE;0;0;1
lr204;12R_12V_04I_03M;t2;lr204_t2_12R_12V_04I_03M;NA;Inf;0;3600;HxSolutionStatus.INFEASIBLE;0;0;1
lr205;12R_12V_04I_03M;t2;lr205_t2_12R_12V_04I_03M;1273.31;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;08R_08V_02I_04M;t2;lr201_t2_08R_08V_02I_04M;944.72;44.51;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;08R_08V_02I_04M;t2;lr202_t2_08R_08V_02I_04M;695.62;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;08R_08V_02I_04M;t2;lr203_t2_08R_08V_02I_04M;736.92;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr204;08R_08V_02I_04M;t2;lr204_t2_08R_08V_02I_04M;733.24;100;0.38;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr205;08R_08V_02I_04M;t2;lr205_t2_08R_08V_02I_04M;643.97;100;0.12;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;08R_08V_04I_04M;t2;lr201_t2_08R_08V_04I_04M;1038.38;100;0.38;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;08R_08V_04I_04M;t2;lr202_t2_08R_08V_04I_04M;898.82;100;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;08R_08V_04I_04M;t2;lr203_t2_08R_08V_04I_04M;832.44;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr204;08R_08V_04I_04M;t2;lr204_t2_08R_08V_04I_04M;NA;Inf;0;3600;HxSolutionStatus.INFEASIBLE;0;0;1
lr205;08R_08V_04I_04M;t2;lr205_t2_08R_08V_04I_04M;701.97;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;10R_10V_02I_04M;t2;lr201_t2_10R_10V_02I_04M;1213.91;100;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;10R_10V_02I_04M;t2;lr202_t2_10R_10V_02I_04M;862.76;100;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;10R_10V_02I_04M;t2;lr203_t2_10R_10V_02I_04M;971.2;100;0.2;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr204;10R_10V_02I_04M;t2;lr204_t2_10R_10V_02I_04M;NA;Inf;0;3636;HxSolutionStatus.INFEASIBLE;0;0;1
lr205;10R_10V_02I_04M;t2;lr205_t2_10R_10V_02I_04M;814.96;100;0.2;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;10R_10V_04I_04M;t2;lr201_t2_10R_10V_04I_04M;1293.16;100;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;10R_10V_04I_04M;t2;lr202_t2_10R_10V_04I_04M;NA;Inf;0;3601;HxSolutionStatus.INFEASIBLE;0;0;1
lr203;10R_10V_04I_04M;t2;lr203_t2_10R_10V_04I_04M;1342.94;100;0.6;3652;HxSolutionStatus.FEASIBLE;0;1;0
lr204;10R_10V_04I_04M;t2;lr204_t2_10R_10V_04I_04M;NA;Inf;0;3604;HxSolutionStatus.INFEASIBLE;0;0;1
lr205;10R_10V_04I_04M;t2;lr205_t2_10R_10V_04I_04M;1029.52;100;0.2;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;12R_12V_02I_04M;t2;lr201_t2_12R_12V_02I_04M;1326.12;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;12R_12V_02I_04M;t2;lr202_t2_12R_12V_02I_04M;1170.38;100;0.17;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr203;12R_12V_02I_04M;t2;lr203_t2_12R_12V_02I_04M;NA;Inf;0;3705;HxSolutionStatus.INFEASIBLE;0;0;1
lr204;12R_12V_02I_04M;t2;lr204_t2_12R_12V_02I_04M;NA;Inf;0;3631;HxSolutionStatus.INFEASIBLE;0;0;1
lr205;12R_12V_02I_04M;t2;lr205_t2_12R_12V_02I_04M;1215.41;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr201;12R_12V_04I_04M;t2;lr201_t2_12R_12V_04I_04M;1755.01;100;0.33;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr202;12R_12V_04I_04M;t2;lr202_t2_12R_12V_04I_04M;NA;Inf;0;3603;HxSolutionStatus.INFEASIBLE;0;0;1
lr203;12R_12V_04I_04M;t2;lr203_t2_12R_12V_04I_04M;1941.96;100;0.25;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr204;12R_12V_04I_04M;t2;lr204_t2_12R_12V_04I_04M;NA;Inf;0;3600;HxSolutionStatus.INFEASIBLE;0;0;1
lr205;12R_12V_04I_04M;t2;lr205_t2_12R_12V_04I_04M;NA;Inf;0;3603;HxSolutionStatus.INFEASIBLE;0;0;1
