group;name;type;feasible;n_reqs;n_regions;n_machs;n_vehicles_used;n_machines_used;max_max_load_all_vehicles;min_max_load_all_vehicles;mean_max_load_all_vehicles;min_completion_time;max_completion_time;mean_completion_time;avrg_machines_travel_time_with_vehicle;avrg_machines_travel_time_only_with_vehicle;avrg_machines_travel_time_no_vehicle;avrg_vehicles_waiting_time_for_a_machine_travel;avrg_vehicles_waiting_time_for_a_service
06R_06V_02F_03M;lr102;1;1;06;02;03;50;66.6667;76.3158;34.4828;54.988433;80.0565;92.8826;87.829;10.8696;8.6957;2.1739;3.996;5.5814
06R_06V_02F_03M;lr103;1;1;06;02;03;66.6667;100;100;34.6154;60.9976;39.6304;90.4304;66.0326;5.0725;4.3478;0.7246;0;0
06R_06V_02F_03M;lr104;1;1;06;02;03;50;33.3333;69.697;46.1538;54.450267;38.2739;82.6087;62.5116;4.3478;4.3478;0;0;2.594
06R_06V_02F_03M;lr105;1;1;06;02;03;100;100;50;20.5882;35.70625;31.387;60.6522;47.8333;5.0725;4.3478;0.7246;0;3.9122
06R_06V_02F_03M;lr101;1;1;06;02;03;100;100;76.4706;13.4615;36.8537;43.2435;74.1739;56.5587;10.1449;7.2464;2.8986;0.4106;11.0742
06R_06V_02F_03M;lr102;1;1;06;02;03;50;66.6667;68.4211;41.6667;53.3626;80.0565;92.8826;87.829;10.8696;8.6957;2.1739;3.996;5.5814
06R_06V_02F_03M;lr103;1;1;06;02;03;66.6667;100;68.4211;34.6154;55.9875;39.6304;90.4304;66.0326;5.0725;4.3478;0.7246;0;0
06R_06V_02F_03M;lr104;1;1;06;02;03;50;33.3333;57.5758;36.3636;50.4798;38.2739;82.6087;62.5116;4.3478;4.3478;0;0;2.594
06R_06V_02F_03M;lr105;1;1;06;02;03;100;100;50;20.5882;35.70625;31.387;60.6522;47.8333;5.0725;4.3478;0.7246;0;3.9122
06R_06V_02F_03M;lr101;1;1;06;02;03;100;100;60.4651;15.3846;35.247617;43.2435;74.1739;56.5587;10.1449;7.2464;2.8986;0.4106;11.0742
06R_06V_02F_03M;lr102;1;1;06;02;03;50;66.6667;60.4167;34.4828;49.688733;80.0565;92.8826;87.829;10.8696;8.6957;2.1739;3.996;5.5814
06R_06V_02F_03M;lr103;1;1;06;02;03;66.6667;100;81.25;34.6154;53.96635;39.6304;90.4304;66.0326;5.0725;4.3478;0.7246;0;0
06R_06V_02F_03M;lr104;1;1;06;02;03;50;33.3333;88.4615;36.3636;57.4417;38.2739;82.6087;62.5116;4.3478;4.3478;0;0;2.594
06R_06V_02F_03M;lr105;1;1;06;02;03;100;100;50;20.5882;35.70625;31.387;60.6522;47.8333;5.0725;4.3478;0.7246;0;3.9122
06R_06V_02F_03M;lr201;2;1;06;02;03;33.3333;66.6667;88.4615;44.186;66.32375;16.267;63.072;39.6695;0.75;0.5;0.25;0.0476;25.8459
06R_06V_02F_03M;lr202;2;1;06;02;03;16.6667;66.6667;73.6842;73.6842;73.6842;54.589;54.589;54.589;0.75;0.5;0.25;0.9086;0
06R_06V_02F_03M;lr203;2;1;06;02;03;16.6667;66.6667;87.5;87.5;87.5;68.632;68.632;68.632;1.75;1.5;0.25;3.8612;1.3988
06R_06V_02F_03M;lr204;2;1;06;02;03;33.3333;100;78.125;23.6842;50.9046;12.963;48.154;30.5585;0.8333;0.6667;0.1667;0;1.512
06R_06V_02F_03M;lr205;2;1;06;02;03;16.6667;66.6667;100;100;100;54.049;54.049;54.049;1.75;1.5;0.25;0;0.4255
06R_06V_02F_03M;lr201;2;1;06;02;03;33.3333;66.6667;88.4615;44.186;66.32375;16.267;63.072;39.6695;0.75;0.5;0.25;0.0476;25.8459
06R_06V_02F_03M;lr202;2;1;06;02;03;16.6667;66.6667;87.5;87.5;87.5;54.589;54.589;54.589;0.75;0.5;0.25;0;12.3083
06R_06V_02F_03M;lr203;2;1;06;02;03;16.6667;66.6667;87.5;87.5;87.5;68.632;68.632;68.632;1.75;1.5;0.25;0.5362;0.5362
06R_06V_02F_03M;lr204;2;1;06;02;03;33.3333;100;78.125;28.125;53.125;12.963;48.154;30.5585;0.8333;0.6667;0.1667;0;1.512
06R_06V_02F_03M;lr205;2;1;06;02;03;16.6667;66.6667;88.4615;88.4615;88.4615;54.049;54.049;54.049;1.75;1.5;0.25;0;0.4255
06R_06V_02F_03M;lr201;2;1;06;02;03;33.3333;66.6667;88.4615;36.5385;62.5;16.267;63.072;39.6695;0.75;0.5;0.25;0.0476;23.3836
06R_06V_02F_03M;lr202;2;1;06;02;03;16.6667;66.6667;87.5;87.5;87.5;54.589;54.589;54.589;0.75;0.5;0.25;0;12.3083
06R_06V_02F_03M;lr203;2;1;06;02;03;16.6667;66.6667;87.5;87.5;87.5;68.632;68.632;68.632;1.75;1.5;0.25;3.8612;1.3988
06R_06V_02F_03M;lr204;2;1;06;02;03;33.3333;100;78.125;23.6842;50.9046;12.963;48.154;30.5585;0.8333;0.6667;0.1667;0;1.512
06R_06V_02F_03M;lr205;2;1;06;02;03;16.6667;66.6667;88.4615;88.4615;88.4615;54.049;54.049;54.049;1.75;1.5;0.25;0;0.111
06R_06V_02F_03M;lr201;2;1;06;02;03;33.3333;66.6667;88.4615;44.186;66.32375;16.267;63.072;39.6695;0.75;0.5;0.25;0.0476;25.8459
06R_06V_02F_03M;lr202;2;1;06;02;03;16.6667;66.6667;73.6842;73.6842;73.6842;54.589;54.589;54.589;0.75;0.5;0.25;0.9086;0
06R_06V_02F_03M;lr203;2;1;06;02;03;16.6667;66.6667;87.5;87.5;87.5;68.632;68.632;68.632;1.75;1.5;0.25;3.8612;1.3988
06R_06V_02F_03M;lr204;2;1;06;02;03;33.3333;100;78.125;28.125;53.125;12.963;48.154;30.5585;0.8333;0.6667;0.1667;0;1.512
06R_06V_02F_03M;lr205;2;1;06;02;03;16.6667;66.6667;88.4615;88.4615;88.4615;54.049;54.049;54.049;2.25;1.5;0.75;0;0.4366
06R_06V_02F_03M;lr201;2;1;06;02;03;33.3333;66.6667;88.4615;44.186;66.32375;16.267;63.072;39.6695;0.75;0.5;0.25;0.0476;23.3836
06R_06V_02F_03M;lr202;2;1;06;02;03;16.6667;66.6667;87.5;87.5;87.5;54.589;54.589;54.589;0.75;0.5;0.25;0;12.3083
06R_06V_02F_03M;lr203;2;1;06;02;03;16.6667;66.6667;87.5;87.5;87.5;68.632;68.632;68.632;1.75;1.5;0.25;0.5362;0.5362
06R_06V_02F_03M;lr204;2;1;06;02;03;33.3333;100;78.125;23.6842;50.9046;12.963;48.154;30.5585;0.8333;0.6667;0.1667;0;1.512
06R_06V_02F_03M;lr205;2;1;06;02;03;16.6667;66.6667;100;100;100;54.049;54.049;54.049;1.75;1.5;0.25;0;0.0759
06R_06V_02F_04M;lr101;1;1;06;02;04;100;100;50;16.2791;33.014133;41.7957;73.1826;55.6703;7.0652;5.4348;1.6304;0.4099;11.1661
06R_06V_02F_04M;lr102;1;1;06;02;04;50;75;76.3158;52.6316;61.038033;79.8696;92.8826;87.7667;7.971;5.7971;2.1739;3.996;5.5827
06R_06V_02F_04M;lr103;1;1;06;02;04;66.6667;75;68.4211;34.6154;50.759125;39.6304;88.5348;65.1402;5.0725;4.3478;0.7246;0;0
06R_06V_02F_04M;lr104;1;1;06;02;04;50;25;57.5;36.3636;47.1212;38.2739;82.6087;62.5116;4.3478;4.3478;0;0;2.594
06R_06V_02F_04M;lr105;1;1;06;02;04;100;75;50;20.5882;35.70625;31.387;60.6522;47.4558;5.0725;4.3478;0.7246;0;3.9122
06R_06V_02F_04M;lr101;1;1;06;02;04;100;100;76.4706;13.4615;36.0329;41.7957;73.1826;55.6703;7.0652;5.4348;1.6304;0.4099;11.1661
06R_06V_02F_04M;lr102;1;1;06;02;04;50;75;76.3158;44.8276;57.925;79.8696;92.8826;87.7667;7.971;5.7971;2.1739;3.996;5.5827
06R_06V_02F_04M;lr103;1;1;06;02;04;66.6667;75;81.25;23.6842;59.8874;39.6304;88.5348;65.1402;5.0725;4.3478;0.7246;0;0
06R_06V_02F_04M;lr104;1;1;06;02;04;50;25;69.697;30;49.065667;38.2739;82.6087;62.5116;4.3478;4.3478;0;0;2.594
06R_06V_02F_04M;lr105;1;1;06;02;04;100;75;50;20.5882;35.70625;31.387;60.6522;47.4558;5.0725;4.3478;0.7246;0;3.9122
06R_06V_02F_04M;lr101;1;1;06;02;04;100;100;76.4706;15.3846;37.197017;41.7957;73.1826;55.6703;7.0652;5.4348;1.6304;0.4099;11.1661
06R_06V_02F_04M;lr102;1;1;06;02;04;50;75;76.3158;34.4828;54.988433;79.8696;92.8826;87.7667;7.971;5.7971;2.1739;3.996;5.5827
06R_06V_02F_04M;lr103;1;1;06;02;04;66.6667;75;100;34.6154;60.9976;39.6304;88.5348;65.1402;5.0725;4.3478;0.7246;0;0
06R_06V_02F_04M;lr104;1;1;06;02;04;50;25;69.697;46.1538;54.450267;38.2739;82.6087;62.5116;4.3478;4.3478;0;0;2.594
06R_06V_02F_04M;lr105;1;1;06;02;04;100;75;50;20.5882;35.70625;31.387;60.6522;47.4558;5.0725;4.3478;0.7246;0;3.9122
06R_06V_02F_04M;lr101;1;1;06;02;04;100;100;60.4651;15.3846;35.247617;41.7957;73.1826;55.6703;7.0652;5.4348;1.6304;0.4099;11.1661
06R_06V_02F_04M;lr102;1;1;06;02;04;50;75;68.4211;41.6667;53.3626;79.8696;92.8826;87.7667;7.971;5.7971;2.1739;3.996;5.5827
06R_06V_02F_04M;lr103;1;1;06;02;04;66.6667;75;68.4211;34.6154;55.9875;39.6304;88.5348;65.1402;5.0725;4.3478;0.7246;0;0
06R_06V_02F_04M;lr104;1;1;06;02;04;50;25;57.5758;36.3636;50.4798;38.2739;82.6087;62.5116;4.3478;4.3478;0;0;2.594
06R_06V_02F_04M;lr105;1;1;06;02;04;100;75;50;20.5882;35.70625;31.387;60.6522;47.4558;5.0725;4.3478;0.7246;0;3.9122
06R_06V_02F_04M;lr101;1;1;06;02;04;100;100;76.4706;13.4615;36.956317;41.7957;73.1826;55.6703;7.0652;5.4348;1.6304;0.4099;11.1661
06R_06V_02F_04M;lr102;1;1;06;02;04;50;75;60.4167;34.4828;49.688733;79.8696;92.8826;87.7667;7.971;5.7971;2.1739;3.996;5.5827
06R_06V_02F_04M;lr103;1;1;06;02;04;66.6667;75;81.25;34.6154;53.96635;39.6304;88.5348;65.1402;5.0725;4.3478;0.7246;0;0
06R_06V_02F_04M;lr104;1;1;06;02;04;50;25;88.4615;36.3636;57.4417;38.2739;82.6087;62.5116;4.3478;4.3478;0;0;2.594
06R_06V_02F_04M;lr105;1;1;06;02;04;100;75;50;20.5882;35.70625;31.387;60.6522;47.4558;5.0725;4.3478;0.7246;0;3.9122
06R_06V_02F_04M;lr201;2;1;06;02;04;33.3333;50;88.4615;44.186;66.32375;16.267;63.072;39.6695;0.75;0.5;0.25;0.0476;25.8459
06R_06V_02F_04M;lr202;2;1;06;02;04;16.6667;50;73.6842;73.6842;73.6842;54.589;54.589;54.589;0.75;0.5;0.25;1.1101;0
06R_06V_02F_04M;lr203;2;1;06;02;04;16.6667;50;87.5;87.5;87.5;68.632;68.632;68.632;1.75;1.5;0.25;4.3507;1.3988
06R_06V_02F_04M;lr204;2;1;06;02;04;33.3333;75;78.125;23.6842;50.9046;12.963;48.103;30.533;0.8333;0.6667;0.1667;0;1.512
06R_06V_02F_04M;lr205;2;1;06;02;04;16.6667;50;100;100;100;54.045;54.045;54.045;1.75;1.5;0.25;0;1.0991
06R_06V_02F_04M;lr201;2;1;06;02;04;33.3333;50;88.4615;44.186;66.32375;16.267;63.072;39.6695;0.75;0.5;0.25;0.0476;25.8459
06R_06V_02F_04M;lr202;2;1;06;02;04;16.6667;50;73.6842;73.6842;73.6842;54.589;54.589;54.589;0.75;0.5;0.25;0;0
06R_06V_02F_04M;lr203;2;1;06;02;04;16.6667;50;87.5;87.5;87.5;68.632;68.632;68.632;1.75;1.5;0.25;0.5362;0.5362
06R_06V_02F_04M;lr204;2;1;06;02;04;33.3333;75;78.125;23.6842;50.9046;12.963;48.103;30.533;0.8333;0.6667;0.1667;0;1.512
06R_06V_02F_04M;lr205;2;1;06;02;04;16.6667;50;82.6923;82.6923;82.6923;54.045;54.045;54.045;1.75;1.5;0.25;0;1.0991
06R_06V_02F_04M;lr201;2;1;06;02;04;33.3333;50;88.4615;36.5385;62.5;16.267;63.072;39.6695;0.75;0.5;0.25;0.0476;23.3836
06R_06V_02F_04M;lr202;2;1;06;02;04;16.6667;50;87.5;87.5;87.5;54.589;54.589;54.589;0.75;0.5;0.25;0;12.3083
06R_06V_02F_04M;lr203;2;1;06;02;04;16.6667;50;87.5;87.5;87.5;68.632;68.632;68.632;1.75;1.5;0.25;4.3507;1.3988
06R_06V_02F_04M;lr204;2;1;06;02;04;33.3333;75;78.125;23.6842;50.9046;12.963;48.103;30.533;0.8333;0.6667;0.1667;0;1.512
06R_06V_02F_04M;lr205;2;1;06;02;04;16.6667;50;100;100;100;54.045;54.045;54.045;1.75;1.5;0.25;0;1.0991
06R_06V_02F_04M;lr201;2;1;06;02;04;33.3333;50;88.4615;44.186;66.32375;16.267;63.072;39.6695;0.75;0.5;0.25;0.0476;25.8459
06R_06V_02F_04M;lr202;2;1;06;02;04;16.6667;50;73.6842;73.6842;73.6842;54.589;54.589;54.589;0.75;0.5;0.25;1.1101;0
06R_06V_02F_04M;lr203;2;1;06;02;04;16.6667;50;87.5;87.5;87.5;68.632;68.632;68.632;1.75;1.5;0.25;4.3507;1.3988
06R_06V_02F_04M;lr204;2;1;06;02;04;33.3333;75;96.1538;23.6842;59.919;12.963;48.103;30.533;0.8333;0.6667;0.1667;0;1.512
06R_06V_02F_04M;lr205;2;1;06;02;04;16.6667;50;100;100;100;54.045;54.045;54.045;1.75;1.5;0.25;0;0.1665
06R_06V_02F_04M;lr201;2;1;06;02;04;33.3333;50;88.4615;44.186;66.32375;16.267;63.072;39.6695;0.75;0.5;0.25;0.0476;23.3836
06R_06V_02F_04M;lr202;2;1;06;02;04;16.6667;50;87.5;87.5;87.5;54.589;54.589;54.589;0.75;0.5;0.25;0;12.3083
06R_06V_02F_04M;lr203;2;1;06;02;04;16.6667;50;87.5;87.5;87.5;68.632;68.632;68.632;1.75;1.5;0.25;0.5362;0.5362
06R_06V_02F_04M;lr204;2;1;06;02;04;33.3333;75;78.125;23.6842;50.9046;12.963;48.103;30.533;0.8333;0.6667;0.1667;0;1.512
06R_06V_02F_04M;lr205;2;1;06;02;04;16.6667;75;100;100;100;54.045;54.045;54.045;1.3333;1;0.3333;0;0.705
06R_06V_04F_03M;lr101;1;1;06;04;03;83.3333;100;60.4651;20.5882;37.65178;46.5265;99.4612;61.1543;12.2449;10.8844;1.3605;0;12.8074
06R_06V_04F_03M;lr102;1;1;06;04;03;66.6667;100;95.8333;5.2632;46.95725;63.9658;87.594;77.3793;20.6553;15.6695;4.9858;0;4.4524
06R_06V_04F_03M;lr103;1;1;06;04;03;100;100;73.0769;15.625;40.131583;55.3958;78.2167;65.8097;27.7778;19.4444;8.3333;0;0.3707
06R_06V_04F_03M;lr104;1;1;06;04;03;66.6667;100;57.5758;17.5;43.14395;34.4929;86.2321;58.8884;12.5;9.5238;2.9762;0;0
06R_06V_04F_03M;lr105;1;1;06;04;03;100;100;60.4651;13.4615;38.172583;37.1565;75;62.6457;26.087;17.3913;8.6957;0;2.7186
06R_06V_04F_03M;lr101;1;1;06;04;03;83.3333;100;60.4651;20.5882;37.65178;46.5265;99.4612;61.1543;12.2449;10.8844;1.3605;0;12.8074
06R_06V_04F_03M;lr102;1;1;06;04;03;66.6667;100;79.3103;5.2632;43.5118;63.9658;87.594;77.3793;20.6553;15.6695;4.9858;0;4.4524
06R_06V_04F_03M;lr103;1;1;06;04;03;100;100;61.5385;13.1579;39.85325;55.3958;78.2167;65.8097;27.7778;19.4444;8.3333;0;0.3707
06R_06V_04F_03M;lr104;1;1;06;04;03;66.6667;100;76.9231;17.5;52.393675;34.4929;86.2321;58.8884;12.5;9.5238;2.9762;0;0
06R_06V_04F_03M;lr105;1;1;06;04;03;100;100;60.4651;13.4615;38.582983;37.1565;75;62.6457;26.087;17.3913;8.6957;0;2.7186
06R_06V_04F_03M;lr101;1;1;06;04;03;83.3333;100;60.4651;20.5882;37.65178;46.5265;99.4612;61.1543;12.2449;10.8844;1.3605;0;12.8074
06R_06V_04F_03M;lr102;1;1;06;04;03;66.6667;100;76.3158;4.1667;39.830075;63.9658;87.594;77.3793;20.6553;15.6695;4.9858;0;4.8868
06R_06V_04F_03M;lr103;1;1;06;04;03;100;100;61.5385;15.625;39.929167;55.3958;78.2167;65.8097;27.7778;19.4444;8.3333;0;0.3707
06R_06V_04F_03M;lr104;1;1;06;04;03;66.6667;100;73.0769;21.2121;47.94725;34.4929;86.2321;58.8884;12.5;9.5238;2.9762;0;0
06R_06V_04F_03M;lr105;1;1;06;04;03;100;100;50;20.5882;35.70625;37.1565;75;62.6457;26.087;17.3913;8.6957;0;2.7186
06R_06V_04F_03M;lr101;1;1;06;04;03;83.3333;100;60.4651;20.5882;37.65178;46.5265;99.4612;61.1543;12.2449;10.8844;1.3605;0;12.8074
06R_06V_04F_03M;lr102;1;1;06;04;03;66.6667;100;68.4211;4.1667;33.936425;63.9658;87.594;77.3793;20.6553;15.6695;4.9858;0;4.8868
06R_06V_04F_03M;lr103;1;1;06;04;03;100;100;73.0769;15.625;40.53645;55.3958;78.2167;65.8097;27.7778;19.4444;8.3333;0;0.3707
06R_06V_04F_03M;lr104;1;1;06;04;03;66.6667;100;60.6061;26.9231;48.15125;34.4929;86.2321;58.8884;12.5;9.5238;2.9762;0;0
06R_06V_04F_03M;lr105;1;1;06;04;03;100;100;50;20.5882;35.70625;37.1565;75;62.6457;26.087;17.3913;8.6957;0;2.7186
06R_06V_04F_03M;lr101;1;1;06;04;03;83.3333;100;60.4651;20.5882;37.65178;46.5265;99.4612;61.1543;12.2449;10.8844;1.3605;0;12.8074
06R_06V_04F_03M;lr102;1;1;06;04;03;66.6667;100;68.4211;5.2632;36.814725;63.9658;87.594;77.3793;20.6553;15.6695;4.9858;0;4.8868
06R_06V_04F_03M;lr103;1;1;06;04;03;100;100;73.0769;13.1579;40.4542;55.3958;78.2167;65.8097;27.7778;19.4444;8.3333;0;0.3707
06R_06V_04F_03M;lr104;1;1;06;04;03;66.6667;100;73.0769;17.5;49.538175;34.4929;86.2321;58.8884;12.5;9.5238;2.9762;0;0
06R_06V_04F_03M;lr105;1;1;06;04;03;100;100;60.4651;13.4615;37.3952;37.1565;75;62.6457;26.087;17.3913;8.6957;0;2.7186
06R_06V_04F_03M;lr201;2;1;06;04;03;33.3333;100;88.4615;36.5385;62.5;23.293;70.367;46.83;3.1667;2.6667;0.5;17.3228;23.5252
06R_06V_04F_03M;lr202;2;1;06;04;03;33.3333;100;92.1053;37.5;64.80265;11.03;49.374;30.202;2.5;1.3333;1.1667;0;0
06R_06V_04F_03M;lr203;2;1;06;04;03;33.3333;66.6667;87.5;59.0909;73.29545;20.141;59.615;39.878;5.75;5;0.75;6.1965;0.0126
06R_06V_04F_03M;lr204;2;1;06;04;03;33.3333;66.6667;50;50;50;28.982;47.456;38.219;3.5;3.5;0;0;0
06R_06V_04F_03M;lr205;2;1;06;04;03;16.6667;66.6667;100;100;100;60.407;60.407;60.407;2.75;2.5;0.25;0;0
06R_06V_04F_03M;lr201;2;1;06;04;03;33.3333;100;88.4615;55.8824;72.17195;23.293;70.367;46.83;3.1667;2.6667;0.5;17.3228;23.5252
06R_06V_04F_03M;lr202;2;1;06;04;03;33.3333;100;92.1053;46.1538;69.12955;11.03;49.374;30.202;2.5;1.3333;1.1667;0;0
06R_06V_04F_03M;lr203;2;1;06;04;03;33.3333;66.6667;87.5;59.0909;73.29545;20.141;59.615;39.878;5.75;5;0.75;6.1965;0.0126
06R_06V_04F_03M;lr204;2;1;06;04;03;33.3333;66.6667;59.375;42.1053;50.74015;28.982;47.456;38.219;3.5;3.5;0;0;0
06R_06V_04F_03M;lr205;2;1;06;04;03;16.6667;66.6667;100;100;100;60.407;60.407;60.407;2.75;2.5;0.25;0;0
06R_06V_04F_03M;lr201;2;1;06;04;03;33.3333;100;88.4615;55.8824;72.17195;23.293;70.367;46.83;3.1667;2.6667;0.5;17.3228;23.5252
06R_06V_04F_03M;lr202;2;1;06;04;03;33.3333;100;92.1053;31.5789;61.8421;11.03;49.374;30.202;2.5;1.3333;1.1667;0;0
06R_06V_04F_03M;lr203;2;1;06;04;03;33.3333;66.6667;87.5;59.0909;73.29545;20.141;59.615;39.878;5.75;5;0.75;6.1965;0.0126
06R_06V_04F_03M;lr204;2;1;06;04;03;33.3333;66.6667;61.5385;50;55.76925;28.982;47.456;38.219;3.5;3.5;0;0;0
06R_06V_04F_03M;lr205;2;1;06;04;03;16.6667;66.6667;82.6923;82.6923;82.6923;60.407;60.407;60.407;2.75;2.5;0.25;0;0
06R_06V_04F_03M;lr201;2;1;06;04;03;33.3333;100;88.4615;55.8824;72.17195;23.293;70.367;46.83;3.1667;2.6667;0.5;17.3228;23.5252
06R_06V_04F_03M;lr202;2;1;06;04;03;33.3333;100;92.1053;31.5789;61.8421;11.03;49.374;30.202;2.5;1.3333;1.1667;0;0
06R_06V_04F_03M;lr203;2;1;06;04;03;33.3333;66.6667;87.5;59.0909;73.29545;20.141;59.615;39.878;5.75;5;0.75;6.1965;0.0126
06R_06V_04F_03M;lr204;2;1;06;04;03;33.3333;66.6667;50;50;50;28.982;47.456;38.219;3.5;3.5;0;0;0
06R_06V_04F_03M;lr205;2;1;06;04;03;16.6667;66.6667;100;100;100;60.407;60.407;60.407;2.75;2.5;0.25;0;0
06R_06V_04F_03M;lr201;2;1;06;04;03;33.3333;100;88.4615;44.186;66.32375;23.293;70.367;46.83;3.1667;2.6667;0.5;17.3228;23.5252
06R_06V_04F_03M;lr202;2;1;06;04;03;33.3333;100;92.1053;46.1538;69.12955;11.03;49.374;30.202;2.5;1.3333;1.1667;0;0
06R_06V_04F_03M;lr203;2;1;06;04;03;33.3333;66.6667;87.5;59.0909;73.29545;20.141;59.615;39.878;5.75;5;0.75;6.1965;0.0126
06R_06V_04F_03M;lr204;2;1;06;04;03;33.3333;66.6667;50;42.1053;46.05265;28.982;47.456;38.219;3.5;3.5;0;0;0
06R_06V_04F_03M;lr205;2;1;06;04;03;16.6667;66.6667;82.6923;82.6923;82.6923;60.407;60.407;60.407;2.75;2.5;0.25;0;0
06R_06V_04F_04M;lr101;1;1;06;04;04;83.3333;100;85.2941;16.2791;41.72892;46.2857;98.9224;60.1339;9.6939;8.1633;1.5306;0;12.8882
06R_06V_04F_04M;lr102;1;1;06;04;04;66.6667;100;95.8333;4.1667;40.789475;51.5385;86.265;73.9402;13.8889;11.7521;2.1368;0;0
06R_06V_04F_04M;lr103;1;1;06;04;04;100;100;59.375;13.1579;39.0119;52.4333;83.5375;67.6646;20.3125;14.5833;5.7292;0;4.3186
06R_06V_04F_04M;lr104;1;1;06;04;04;66.6667;100;57.5758;17.5;43.14395;34.4536;85.2214;58.6259;12.0536;7.1429;4.9107;0;0
06R_06V_04F_04M;lr105;1;1;06;04;04;100;100;60.4651;13.4615;38.172583;37.1565;73.9913;62.1;18.4783;13.0435;5.4348;0;2.7186
06R_06V_04F_04M;lr101;1;1;06;04;04;83.3333;100;85.2941;18.6047;45.77292;46.2857;98.9224;60.1339;9.6939;8.1633;1.5306;0;12.8882
06R_06V_04F_04M;lr102;1;1;06;04;04;66.6667;100;76.3158;4.1667;39.381075;51.5385;86.265;73.9402;13.8889;11.7521;2.1368;0;0.4791
06R_06V_04F_04M;lr103;1;1;06;04;04;100;100;59.375;19.2308;38.202183;52.4333;83.5375;67.6646;20.3125;14.5833;5.7292;0;4.3186
06R_06V_04F_04M;lr104;1;1;06;04;04;66.6667;100;76.9231;17.5;52.393675;34.4536;85.2214;58.6259;12.0536;7.1429;4.9107;0;0
06R_06V_04F_04M;lr105;1;1;06;04;04;100;100;60.4651;13.4615;38.582983;37.1565;73.9913;62.1;18.4783;13.0435;5.4348;0;2.7186
06R_06V_04F_04M;lr101;1;1;06;04;04;83.3333;100;85.2941;18.6047;41.6058;46.2857;98.9224;60.1339;9.6939;8.1633;1.5306;0;12.8882
06R_06V_04F_04M;lr102;1;1;06;04;04;66.6667;100;54.1667;4.1667;30.372825;51.5385;86.265;73.9402;13.8889;11.7521;2.1368;0;0.4791
06R_06V_04F_04M;lr103;1;1;06;04;04;100;100;61.5385;15.625;38.942317;52.4333;83.5375;67.6646;20.3125;14.5833;5.7292;0;4.3186
06R_06V_04F_04M;lr104;1;1;06;04;04;66.6667;100;73.0769;21.2121;47.94725;34.4536;85.2214;58.6259;12.0536;7.1429;4.9107;0;0
06R_06V_04F_04M;lr105;1;1;06;04;04;100;100;50;20.5882;35.70625;37.1565;73.9913;62.1;18.4783;13.0435;5.4348;0;2.7186
06R_06V_04F_04M;lr101;1;1;06;04;04;83.3333;100;85.2941;15.3846;42.5434;46.2857;98.9224;60.1339;9.6939;8.1633;1.5306;0;12.8882
06R_06V_04F_04M;lr102;1;1;06;04;04;66.6667;100;79.3103;5.2632;39.537025;51.5385;86.265;73.9402;13.8889;11.7521;2.1368;0;0
06R_06V_04F_04M;lr103;1;1;06;04;04;100;100;73.0769;15.625;39.884867;52.4333;83.5375;67.6646;20.3125;14.5833;5.7292;0;4.3186
