name;group;type;full_name;obj_value_grb;gap_grb;n_vehicles_used_grb;time_grb;status;optimal;tle_feas;tle_not_feas;constraints_used_mip_str
lr103;12R_12V_02I_03M;t1;lr103_t1_12R_12V_02I_03M;716.73;95.93;0.33;3600.04;9;0;1;0;1-29
lr103;12R_12V_02I_04M;t1;lr103_t1_12R_12V_02I_04M;715.78;100;0.33;3600.07;9;0;1;0;1-29
lr104;12R_12V_02I_03M;t1;lr104_t1_12R_12V_02I_03M;793.11;100;0.42;3600.05;9;0;1;0;1-29
lr104;12R_12V_02I_04M;t1;lr104_t1_12R_12V_02I_04M;768.87;100;0.33;3600.08;9;0;1;0;1-29
lr105;12R_12V_02I_03M;t1;lr105_t1_12R_12V_02I_03M;1335.76;5.89;0.67;3600.01;9;0;1;0;1-29
lr105;12R_12V_02I_04M;t1;lr105_t1_12R_12V_02I_04M;1295.25;5.14;0.67;3600.01;9;0;1;0;1-29
lr101;12R_12V_04I_03M;t1;lr101_t1_12R_12V_04I_03M;1344.42;1.83;0.75;3600.01;9;0;1;0;1-29
lr101;12R_12V_04I_04M;t1;lr101_t1_12R_12V_04I_04M;1308.88;1.7;0.75;3600;9;0;1;0;1-29
lr102;12R_12V_04I_03M;t1;lr102_t1_12R_12V_04I_03M;974.52;0;0.5;894.98;2;1;0;0;1-29
lr102;12R_12V_04I_04M;t1;lr102_t1_12R_12V_04I_04M;967.38;0;0.5;1553.14;2;1;0;0;1-29
lr103;12R_12V_04I_03M;t1;lr103_t1_12R_12V_04I_03M;779.27;100;0.42;3600.07;9;0;1;0;1-29
lr103;12R_12V_04I_04M;t1;lr103_t1_12R_12V_04I_04M;779.12;100;0.42;3600.07;9;0;1;0;1-29
lr104;12R_12V_04I_03M;t1;lr104_t1_12R_12V_04I_03M;843.32;100;0.42;3600.08;9;0;1;0;1-29
lr104;12R_12V_04I_04M;t1;lr104_t1_12R_12V_04I_04M;843.32;100;0.42;3600.11;9;0;1;0;1-29
lr105;12R_12V_04I_03M;t1;lr105_t1_12R_12V_04I_03M;834.01;1.07;0.5;3600.01;9;0;1;0;1-29
lr105;12R_12V_04I_04M;t1;lr105_t1_12R_12V_04I_04M;831.96;1.96;0.5;3600.01;9;0;1;0;1-29
lr201;06R_06V_02I_03M;t2;lr201_t2_06R_06V_02I_03M;695.54;0;0.5;1.99;2;1;0;0;1-29
lr201;06R_06V_02I_04M;t2;lr201_t2_06R_06V_02I_04M;693.78;0;0.5;2.06;2;1;0;0;1-29
lr202;06R_06V_02I_03M;t2;lr202_t2_06R_06V_02I_03M;606.04;0;0.33;138.17;2;1;0;0;1-29
lr202;06R_06V_02I_04M;t2;lr202_t2_06R_06V_02I_04M;606.04;0;0.33;155.23;2;1;0;0;1-29
lr203;06R_06V_02I_03M;t2;lr203_t2_06R_06V_02I_03M;589.87;0;0.33;29.06;2;1;0;0;1-29
lr203;06R_06V_02I_04M;t2;lr203_t2_06R_06V_02I_04M;589.87;0;0.33;36.79;2;1;0;0;1-29
lr204;06R_06V_02I_03M;t2;lr204_t2_06R_06V_02I_03M;546.24;0;0.17;2668.79;2;1;0;0;1-29
lr204;06R_06V_02I_04M;t2;lr204_t2_06R_06V_02I_04M;536.06;0;0.17;3311.81;2;1;0;0;1-29
lr205;06R_06V_02I_03M;t2;lr205_t2_06R_06V_02I_03M;551.63;0;0.17;111.98;2;1;0;0;1-29
lr205;06R_06V_02I_04M;t2;lr205_t2_06R_06V_02I_04M;549.2;0;0.17;39;2;1;0;0;1-29
lr201;06R_06V_04I_03M;t2;lr201_t2_06R_06V_04I_03M;739.27;0;0.67;8.78;2;1;0;0;1-29
lr201;06R_06V_04I_04M;t2;lr201_t2_06R_06V_04I_04M;733.29;0;0.67;8.11;2;1;0;0;1-29
lr202;06R_06V_04I_03M;t2;lr202_t2_06R_06V_04I_03M;547.87;0;0.17;356.17;2;1;0;0;1-29
lr202;06R_06V_04I_04M;t2;lr202_t2_06R_06V_04I_04M;547.87;0;0.17;444.52;2;1;0;0;1-29
lr203;06R_06V_04I_03M;t2;lr203_t2_06R_06V_04I_03M;609.92;0;0.33;142.53;2;1;0;0;1-29
lr203;06R_06V_04I_04M;t2;lr203_t2_06R_06V_04I_04M;606.21;0;0.33;196.38;2;1;0;0;1-29
lr204;06R_06V_04I_03M;t2;lr204_t2_06R_06V_04I_03M;586.7;100;0.33;3600.08;9;0;1;0;1-29
lr204;06R_06V_04I_04M;t2;lr204_t2_06R_06V_04I_04M;568.46;100;0.33;3600.07;9;0;1;0;1-29
lr205;06R_06V_04I_03M;t2;lr205_t2_06R_06V_04I_03M;535.22;0;0.17;86.62;2;1;0;0;1-29
lr205;06R_06V_04I_04M;t2;lr205_t2_06R_06V_04I_04M;535.22;0;0.17;84.88;2;1;0;0;1-29
lr201;08R_08V_02I_03M;t2;lr201_t2_08R_08V_02I_03M;948.1;0;0.25;81.94;2;1;0;0;1-29
lr201;08R_08V_02I_04M;t2;lr201_t2_08R_08V_02I_04M;944.72;0;0.25;88.92;2;1;0;0;1-29
lr202;08R_08V_02I_03M;t2;lr202_t2_08R_08V_02I_03M;702.14;86.36;0.25;3600.04;9;0;1;0;1-29
lr202;08R_08V_02I_04M;t2;lr202_t2_08R_08V_02I_04M;694.1;86.21;0.25;3601.54;9;0;1;0;1-29
lr203;08R_08V_02I_03M;t2;lr203_t2_08R_08V_02I_03M;654.47;100;0.38;3600.07;9;0;1;0;1-29
lr203;08R_08V_02I_04M;t2;lr203_t2_08R_08V_02I_04M;653.75;100;0.38;3600.13;9;0;1;0;1-29
lr204;08R_08V_02I_03M;t2;lr204_t2_08R_08V_02I_03M;659.45;100;0.25;3600.06;9;0;1;0;1-29
lr204;08R_08V_02I_04M;t2;lr204_t2_08R_08V_02I_04M;635.46;100;0.25;3600.09;9;0;1;0;1-29
lr205;08R_08V_02I_03M;t2;lr205_t2_08R_08V_02I_03M;643.32;0;0.25;1201.13;2;1;0;0;1-29
lr205;08R_08V_02I_04M;t2;lr205_t2_08R_08V_02I_04M;629.97;0;0.25;1785.01;2;1;0;0;1-29
lr201;08R_08V_04I_03M;t2;lr201_t2_08R_08V_04I_03M;1022.22;0;0.25;510.24;2;1;0;0;1-29
lr201;08R_08V_04I_04M;t2;lr201_t2_08R_08V_04I_04M;1018.3;0;0.25;423.78;2;1;0;0;1-29
lr202;08R_08V_04I_03M;t2;lr202_t2_08R_08V_04I_03M;768.88;89.48;0.25;3600.07;9;0;1;0;1-29
lr202;08R_08V_04I_04M;t2;lr202_t2_08R_08V_04I_04M;759.67;100;0.25;3600.05;9;0;1;0;1-29
lr203;08R_08V_04I_03M;t2;lr203_t2_08R_08V_04I_03M;691.06;100;0.38;3600.08;9;0;1;0;1-29
lr203;08R_08V_04I_04M;t2;lr203_t2_08R_08V_04I_04M;683.66;100;0.12;3600.12;9;0;1;0;1-29
lr204;08R_08V_04I_03M;t2;lr204_t2_08R_08V_04I_03M;731.55;100;0.25;3600.15;9;0;1;0;1-29
lr204;08R_08V_04I_04M;t2;lr204_t2_08R_08V_04I_04M;713.7;100;0.25;3600.19;9;0;1;0;1-29
lr205;08R_08V_04I_03M;t2;lr205_t2_08R_08V_04I_03M;668.25;21.26;0.12;3600.1;9;0;1;0;1-29
lr205;08R_08V_04I_04M;t2;lr205_t2_08R_08V_04I_04M;661.85;61.86;0.12;3600.06;9;0;1;0;1-29
lr201;10R_10V_02I_03M;t2;lr201_t2_10R_10V_02I_03M;1006.56;17.85;0.2;3600.02;9;0;1;0;1-29
lr201;10R_10V_02I_04M;t2;lr201_t2_10R_10V_02I_04M;1005.86;16.82;0.2;3600.02;9;0;1;0;1-29
lr202;10R_10V_02I_03M;t2;lr202_t2_10R_10V_02I_03M;728.02;100;0.3;3600.06;9;0;1;0;1-29
lr202;10R_10V_02I_04M;t2;lr202_t2_10R_10V_02I_04M;738.47;100;0.3;3600.03;9;0;1;0;1-29
lr203;10R_10V_02I_03M;t2;lr203_t2_10R_10V_02I_03M;707.39;100;0.3;3600.12;9;0;1;0;1-29
lr203;10R_10V_02I_04M;t2;lr203_t2_10R_10V_02I_04M;691.36;100;0.3;3600.26;9;0;1;0;1-29
lr204;10R_10V_02I_03M;t2;lr204_t2_10R_10V_02I_03M;707.23;100;0.2;3600.7;9;0;1;0;1-29
lr204;10R_10V_02I_04M;t2;lr204_t2_10R_10V_02I_04M;770.35;100;0.3;3601.34;9;0;1;0;1-29
lr205;10R_10V_02I_03M;t2;lr205_t2_10R_10V_02I_03M;724.14;90.69;0.3;3600.07;9;0;1;0;1-29
lr205;10R_10V_02I_04M;t2;lr205_t2_10R_10V_02I_04M;761.09;87.87;0.2;3600.05;9;0;1;0;1-29
lr201;10R_10V_04I_03M;t2;lr201_t2_10R_10V_04I_03M;1189.03;67.17;0.4;3600.04;9;0;1;0;1-29
lr201;10R_10V_04I_04M;t2;lr201_t2_10R_10V_04I_04M;1189.03;82.43;0.4;3600.05;9;0;1;0;1-29
lr202;10R_10V_04I_03M;t2;lr202_t2_10R_10V_04I_03M;999.09;100;0.4;3600.17;9;0;1;0;1-29
lr202;10R_10V_04I_04M;t2;lr202_t2_10R_10V_04I_04M;935;100;0.3;3600.27;9;0;1;0;1-29
lr203;10R_10V_04I_03M;t2;lr203_t2_10R_10V_04I_03M;829.83;100;0.4;3601.55;9;0;1;0;1-29
lr205;10R_10V_04I_03M;t2;lr205_t2_10R_10V_04I_03M;782.11;100;0.2;3600.06;9;0;1;0;1-29
lr205;10R_10V_04I_04M;t2;lr205_t2_10R_10V_04I_04M;823.87;100;0.2;3600.24;9;0;1;0;1-29
lr201;12R_12V_02I_03M;t2;lr201_t2_12R_12V_02I_03M;1340.23;74.3;0.25;3600.03;9;0;1;0;1-29
lr201;12R_12V_02I_04M;t2;lr201_t2_12R_12V_02I_04M;1326.13;85.82;0.25;3600.03;9;0;1;0;1-29
lr202;12R_12V_02I_03M;t2;lr202_t2_12R_12V_02I_03M;855.73;100;0.25;3600.13;9;0;1;0;1-29
lr202;12R_12V_02I_04M;t2;lr202_t2_12R_12V_02I_04M;844.44;100;0.25;3600.82;9;0;1;0;1-29
lr203;12R_12V_02I_03M;t2;lr203_t2_12R_12V_02I_03M;1187.84;100;0.33;3601.39;9;0;1;0;1-29
lr203;12R_12V_02I_04M;t2;lr203_t2_12R_12V_02I_04M;1189.14;100;0.33;3601.19;9;0;1;0;1-29
lr204;12R_12V_02I_04M;t2;lr204_t2_12R_12V_02I_04M;NA;NA;0;3602.91;9;0;0;1;1-29
lr205;12R_12V_02I_03M;t2;lr205_t2_12R_12V_02I_03M;902.8;100;0.17;3600.14;9;0;1;0;1-29
lr205;12R_12V_02I_04M;t2;lr205_t2_12R_12V_02I_04M;892.31;100;0.25;3600.13;9;0;1;0;1-29
lr201;12R_12V_04I_03M;t2;lr201_t2_12R_12V_04I_03M;1452.46;100;0.25;3600.05;9;0;1;0;1-29
lr201;12R_12V_04I_04M;t2;lr201_t2_12R_12V_04I_04M;1477.39;100;0.33;3600.11;9;0;1;0;1-29
lr202;12R_12V_04I_04M;t2;lr202_t2_12R_12V_04I_04M;1184.31;100;0.33;3601.4;9;0;1;0;1-29
lr204;12R_12V_04I_03M;t2;lr204_t2_12R_12V_04I_03M;NA;NA;0;3600.09;9;0;0;1;1-29
lr204;12R_12V_04I_04M;t2;lr204_t2_12R_12V_04I_04M;1166.62;100;0.25;3603.96;9;0;1;0;1-29
lr205;12R_12V_04I_03M;t2;lr205_t2_12R_12V_04I_03M;1039.64;100;0.25;3601.46;9;0;1;0;1-29
lr205;12R_12V_04I_04M;t2;lr205_t2_12R_12V_04I_04M;1091.61;100;0.25;3600.26;9;0;1;0;1-29
lr203;10R_10V_04I_04M;t2;lr203_t2_10R_10V_04I_04M;NA;NA;0;11.61;11;0;0;0;1-29
lr204;10R_10V_04I_03M;t2;lr204_t2_10R_10V_04I_03M;NA;NA;0;5.75;11;0;0;0;1-29
lr204;10R_10V_04I_04M;t2;lr204_t2_10R_10V_04I_04M;NA;NA;0;6.53;11;0;0;0;1-29
lr204;12R_12V_02I_03M;t2;lr204_t2_12R_12V_02I_03M;NA;NA;0;6.35;11;0;0;0;1-29
lr202;12R_12V_04I_03M;t2;lr202_t2_12R_12V_04I_03M;NA;NA;0;8.22;11;0;0;0;1-29
lr203;12R_12V_04I_03M;t2;lr203_t2_12R_12V_04I_03M;NA;NA;0;5.97;11;0;0;0;1-29
lr203;12R_12V_04I_04M;t2;lr203_t2_12R_12V_04I_04M;NA;NA;0;7.49;11;0;0;0;1-29
